,track_id,lat,lon,speed,lon_acc,lat_acc,time,type,traveled_d,avg_speed
67,68,37.978819,23.736282,0.0,0.0,0.0,0.0, Taxi,185.13,12.915959
68,69,37.978851,23.736338,0.0,0.0,0.0,0.0, Taxi,127.12,10.495797
69,70,37.980327,23.735372,24.0816,-0.106,0.0114,0.0, Taxi,442.64,19.918851
70,71,37.979046,23.736301,0.0,0.0,0.0,0.0, Heavy Vehicle,151.24,1.495741
71,72,37.978368,23.736891,14.3176,0.0704,-0.0229,0.0, Taxi,183.52,20.907353
72,73,37.979457,23.737486,14.5171,0.0572,-0.0093,0.0, Taxi,15.99,13.709574
73,74,37.980256,23.735402,25.1746,-0.2332,0.041,0.0, Taxi,434.68,21.26156
74,75,37.97982,23.735675,37.4063,0.2637,-0.0135,0.0, Taxi,133.2,23.278397
75,76,37.979653,23.735838,32.4755,0.1855,-0.0047,0.0, Taxi,353.88,31.072162
76,77,37.979235,23.736274,23.7314,0.0299,0.0462,0.0, Taxi,295.46,21.796327
77,78,37.979077,23.736406,21.0154,0.0823,-0.0503,0.0, Taxi,206.77,19.692781
78,79,37.978811,23.736525,32.0709,-0.0092,-0.0033,0.0, Taxi,215.55,26.574647
79,80,37.978682,23.736691,21.9932,0.0208,0.0004,0.0, Taxi,222.0,22.323695
80,81,37.978471,23.736857,21.3077,0.2533,-0.0319,0.0, Taxi,194.4,21.600212
81,82,37.978248,23.736975,12.3795,0.013,-0.031,0.0, Taxi,150.55,22.39556
82,83,37.977569,23.737534,24.0776,0.0404,0.1182,0.0, Taxi,74.22,12.145817
83,84,37.977373,23.737736,0.0,0.0,0.0,0.0, Taxi,47.42,8.368982
84,85,37.979855,23.73653,0.0,0.0,0.0,0.0, Heavy Vehicle,162.57,0.821502
85,86,37.979356,23.736567,0.0,0.0,0.0,0.0, Car,124.14,0.894165
86,87,37.978994,23.736336,0.0,0.0,0.0,0.0, Car,267.76,3.733237
87,88,37.978558,23.736821,23.6539,0.6289,-0.0623,0.2, Car,129.13,12.701076
88,89,37.978683,23.7374,11.4973,-0.7316,0.0497,0.2, Motorcycle,64.32,14.118982
89,90,37.980478,23.73521,22.3603,-0.0426,-0.0251,0.2, Taxi,465.45,20.285877
